2021-12-27 21:41:06,748 - Start print log
2021-12-27 21:41:11,446 - policy
2021-12-27 21:41:11,452 - None
2021-12-27 21:41:11,452 - value
2021-12-27 21:41:11,454 - None
2021-12-27 21:41:11,454 - discriminator
2021-12-27 21:41:11,458 - None
2021-12-27 21:41:11,565 - batch_size 4096
2021-12-27 21:41:11,565 - stage: gail, agents num 2
2021-12-27 22:20:31,963 - St: gail, Ep: 619, Rew: 153.6401, ag_num: 2, time: 184.1944, final: 159.5326, pol_l: -0.0064, kl: 0.0049, val_l: 8.3612, ag_rew: 0.5025, ex_rew: 1.5161, dis_l: 0.9957
2021-12-27 22:21:03,700 - St: gail, Ep: 620, Rew: 156.1123, ag_num: 2, time: 198.0, final: 177.6377, pol_l: -0.0167, kl: 0.0056, val_l: 7.0133, ag_rew: 0.5205, ex_rew: 1.4318, dis_l: 1.0502
2021-12-27 22:21:37,732 - St: gail, Ep: 621, Rew: 172.7441, ag_num: 2, time: 163.6667, final: 153.3606, pol_l: -0.0184, kl: 0.0049, val_l: 7.0409, ag_rew: 0.487, ex_rew: 1.4833, dis_l: 0.9983
2021-12-27 22:22:10,192 - St: gail, Ep: 622, Rew: 182.5135, ag_num: 2, time: 215.3667, final: 186.4373, pol_l: -0.0002, kl: 0.0038, val_l: 5.1076, ag_rew: 0.4964, ex_rew: 1.4591, dis_l: 1.0133
2021-12-27 22:22:46,121 - St: gail, Ep: 623, Rew: 185.2594, ag_num: 2, time: 203.2812, final: 189.1877, pol_l: -0.0203, kl: 0.0074, val_l: 6.1472, ag_rew: 0.4625, ex_rew: 1.5209, dis_l: 0.9588
2021-12-27 22:23:18,995 - St: gail, Ep: 624, Rew: 176.4603, ag_num: 2, time: 173.8056, final: 168.4235, pol_l: -0.0222, kl: 0.006, val_l: 6.0166, ag_rew: 0.4817, ex_rew: 1.5302, dis_l: 0.9708
2021-12-27 22:23:49,329 - St: gail, Ep: 625, Rew: 138.7105, ag_num: 2, time: 180.0513, final: 179.6026, pol_l: -0.0218, kl: 0.0067, val_l: 6.5158, ag_rew: 0.4717, ex_rew: 1.5213, dis_l: 0.9637
2021-12-27 22:23:49,334 - stage gail, checkpoints establish, episode 625
2021-12-27 22:24:25,078 - St: gail, Ep: 626, Rew: 201.0373, ag_num: 2, time: 193.2857, final: 172.0614, pol_l: -0.0018, kl: 0.0052, val_l: 7.4182, ag_rew: 0.5356, ex_rew: 1.4475, dis_l: 1.0448
2021-12-27 22:25:03,397 - St: gail, Ep: 627, Rew: 201.8547, ag_num: 2, time: 260.4286, final: 198.1425, pol_l: 0.0019, kl: -0.0, val_l: 5.5906, ag_rew: 0.5018, ex_rew: 1.3518, dis_l: 1.051
2021-12-27 22:25:33,790 - St: gail, Ep: 628, Rew: 159.1633, ag_num: 2, time: 194.2432, final: 180.0016, pol_l: -0.0045, kl: 0.0041, val_l: 7.2106, ag_rew: 0.4907, ex_rew: 1.5092, dis_l: 0.9929
2021-12-27 22:26:10,949 - St: gail, Ep: 629, Rew: 202.7284, ag_num: 2, time: 255.92, final: 205.6256, pol_l: -0.0012, kl: -0.0, val_l: 5.3639, ag_rew: 0.5101, ex_rew: 1.4794, dis_l: 1.0159
2021-12-27 22:26:40,710 - St: gail, Ep: 630, Rew: 176.2761, ag_num: 2, time: 192.9688, final: 178.9879, pol_l: -0.0016, kl: 0.007, val_l: 6.4284, ag_rew: 0.4857, ex_rew: 1.4658, dis_l: 0.9911
2021-12-27 22:27:10,264 - St: gail, Ep: 631, Rew: 195.6253, ag_num: 2, time: 242.2143, final: 216.3379, pol_l: -0.0009, kl: 0.0047, val_l: 4.9637, ag_rew: 0.5098, ex_rew: 1.4038, dis_l: 1.0462
2021-12-27 22:27:43,677 - St: gail, Ep: 632, Rew: 177.5108, ag_num: 2, time: 191.4545, final: 165.4585, pol_l: -0.0027, kl: -0.0, val_l: 7.4247, ag_rew: 0.5298, ex_rew: 1.3982, dis_l: 1.0486
2021-12-27 22:28:16,204 - St: gail, Ep: 633, Rew: 162.1303, ag_num: 2, time: 191.8788, final: 178.2006, pol_l: -0.001, kl: -0.0, val_l: 7.2913, ag_rew: 0.5676, ex_rew: 1.3722, dis_l: 1.0798
2021-12-27 22:28:47,161 - St: gail, Ep: 634, Rew: 162.6717, ag_num: 2, time: 212.129, final: 168.3154, pol_l: 0.0006, kl: 0.0, val_l: 6.4035, ag_rew: 0.5355, ex_rew: 1.3384, dis_l: 1.0524
2021-12-27 22:29:26,285 - St: gail, Ep: 635, Rew: 193.8288, ag_num: 2, time: 205.2069, final: 183.1292, pol_l: 0.0013, kl: -0.0, val_l: 6.1473, ag_rew: 0.4994, ex_rew: 1.3814, dis_l: 1.0113
2021-12-27 22:30:08,713 - St: gail, Ep: 636, Rew: 171.1188, ag_num: 2, time: 218.2069, final: 186.0063, pol_l: -0.0006, kl: 0.0044, val_l: 8.1618, ag_rew: 0.5419, ex_rew: 1.3878, dis_l: 1.0518
2021-12-27 22:30:52,022 - St: gail, Ep: 637, Rew: 147.1282, ag_num: 2, time: 172.6757, final: 145.8397, pol_l: -0.0064, kl: 0.0061, val_l: 10.319, ag_rew: 0.5135, ex_rew: 1.3745, dis_l: 1.0273
2021-12-27 22:31:35,620 - St: gail, Ep: 638, Rew: 182.1053, ag_num: 2, time: 225.8966, final: 188.7322, pol_l: -0.0039, kl: 0.0047, val_l: 6.068, ag_rew: 0.5314, ex_rew: 1.3273, dis_l: 1.0588
2021-12-27 22:32:27,289 - St: gail, Ep: 639, Rew: 181.8669, ag_num: 2, time: 217.2581, final: 184.8514, pol_l: -0.0158, kl: 0.0076, val_l: 6.9177, ag_rew: 0.5448, ex_rew: 1.297, dis_l: 1.0745
2021-12-27 22:33:11,943 - St: gail, Ep: 640, Rew: 169.5956, ag_num: 2, time: 238.4516, final: 185.8198, pol_l: -0.003, kl: -0.0, val_l: 6.6843, ag_rew: 0.5233, ex_rew: 1.3472, dis_l: 1.0335
2021-12-27 22:33:53,608 - St: gail, Ep: 641, Rew: 167.0011, ag_num: 2, time: 198.3333, final: 181.7259, pol_l: -0.0015, kl: -0.0, val_l: 7.3617, ag_rew: 0.4944, ex_rew: 1.3933, dis_l: 0.9991
2021-12-27 22:34:35,609 - St: gail, Ep: 642, Rew: 166.0158, ag_num: 2, time: 191.5, final: 166.8009, pol_l: 0.0008, kl: -0.0, val_l: 7.9367, ag_rew: 0.5243, ex_rew: 1.3409, dis_l: 1.0456
2021-12-27 22:35:12,225 - St: gail, Ep: 643, Rew: 168.7626, ag_num: 2, time: 208.5806, final: 175.725, pol_l: -0.0001, kl: 0.0, val_l: 7.2357, ag_rew: 0.501, ex_rew: 1.318, dis_l: 1.0376
2021-12-27 22:35:56,074 - St: gail, Ep: 644, Rew: 187.0576, ag_num: 2, time: 188.7097, final: 179.643, pol_l: 0.0008, kl: -0.0, val_l: 8.7583, ag_rew: 0.5556, ex_rew: 1.3047, dis_l: 1.0855
2021-12-27 22:36:36,859 - St: gail, Ep: 645, Rew: 153.6962, ag_num: 2, time: 186.1538, final: 158.3723, pol_l: -0.0009, kl: 0.0049, val_l: 7.5319, ag_rew: 0.5222, ex_rew: 1.337, dis_l: 1.0384
2021-12-27 22:37:09,319 - St: gail, Ep: 646, Rew: 166.4424, ag_num: 2, time: 227.8276, final: 184.3394, pol_l: -0.0083, kl: 0.0063, val_l: 5.9428, ag_rew: 0.5106, ex_rew: 1.3597, dis_l: 1.0086
2021-12-27 22:37:47,936 - St: gail, Ep: 647, Rew: 186.9529, ag_num: 2, time: 214.3, final: 183.0151, pol_l: -0.0201, kl: 0.008, val_l: 6.57, ag_rew: 0.4925, ex_rew: 1.3967, dis_l: 0.9858
2021-12-27 22:38:22,971 - St: gail, Ep: 648, Rew: 166.2288, ag_num: 2, time: 218.9355, final: 179.1457, pol_l: -0.0209, kl: 0.0084, val_l: 6.163, ag_rew: 0.4679, ex_rew: 1.4437, dis_l: 0.9458
2021-12-27 22:38:58,332 - St: gail, Ep: 649, Rew: 216.2672, ag_num: 2, time: 268.6667, final: 216.9655, pol_l: -0.0011, kl: 0.0022, val_l: 5.6296, ag_rew: 0.5438, ex_rew: 1.3111, dis_l: 1.0882
